Date,Close,close-1,close-2,
2022/6/17,1,1320,1300,
2022/6/20,0,1285,1320,1300
2022/6/21,1,1265,1285,1320
2022/6/22,0,1200,1265,1285
2022/6/23,0,1230,1200,1265
2022/6/24,1,1125,1230,1200
2022/6/27,1,1125,1125,1230
2022/6/28,0,1200,1125,1125
2022/6/29,0,1205,1200,1125
2022/6/30,0,1195,1205,1200
2022/7/1,0,1145,1195,1205
2022/7/4,1,1115,1145,1195
2022/7/5,0,1035,1115,1145
2022/7/6,0,1045,1035,1115
2022/7/7,1,1045,1045,1035
2022/7/8,1,985,1045,1045
2022/7/11,0,1040,985,1045
2022/7/12,0,1055,1040,985
2022/7/13,1,995,1055,1040
2022/7/14,1,911,995,1055
2022/7/15,1,993,911,995
2022/7/18,1,1015,993,911
2022/7/19,0,1030,1015,993
2022/7/20,1,1070,1030,1015
2022/7/21,1,1040,1070,1030
2022/7/22,0,1070,1040,1070
2022/7/25,0,1120,1070,1040
2022/7/26,0,1095,1120,1070
2022/7/27,1,1065,1095,1120
2022/7/28,0,1025,1065,1095
2022/7/29,0,1030,1025,1065
2022/8/1,1,994,1030,1025
2022/8/2,0,973,994,1030
2022/8/3,0,993,973,994
2022/8/4,1,971,993,973
2022/8/5,0,963,971,993
2022/8/8,1,967,963,971
2022/8/9,0,961,967,963
2022/8/10,0,977,961,967
2022/8/11,1,971,977,961
2022/8/12,1,908,971,977
2022/8/15,1,909,908,971
2022/8/16,1,913,909,908
2022/8/17,1,977,913,909
2022/8/18,0,980,977,913
2022/8/19,1,983,980,977
2022/8/22,0,978,983,980
2022/8/23,0,1000,978,983
2022/8/24,0,995,1000,978
2022/8/25,0,967,995,1000
2022/8/26,1,960,967,995
2022/8/29,0,960,960,967
2022/8/30,0,990,960,960
2022/8/31,1,962,990,960
2022/9/1,0,918,962,990
2022/9/2,0,935,918,962
2022/9/5,0,890,935,918
2022/9/6,0,872,890,935
2022/9/7,0,840,872,890
2022/9/8,1,831,840,872
2022/9/12,1,817,831,840
2022/9/13,1,835,817,831
2022/9/14,0,851,835,817
2022/9/15,0,859,851,835
2022/9/16,0,833,859,851
2022/9/19,0,821,833,859
2022/9/20,0,805,821,833
2022/9/21,0,795,805,821
2022/9/22,0,757,795,805
2022/9/23,0,752,757,795
2022/9/26,0,748,752,757
2022/9/27,1,706,748,752
2022/9/28,0,670,706,748
2022/9/29,1,678,670,706
2022/9/30,1,641,678,670
2022/10/3,1,646,641,678
2022/10/4,1,664,646,641
2022/10/5,1,665,664,646
2022/10/6,1,704,665,664
2022/10/7,0,736,704,665
2022/10/11,0,737,736,704
2022/10/12,0,713,737,736
2022/10/13,0,652,713,737
2022/10/14,1,645,652,713
2022/10/17,0,626,645,652
2022/10/18,0,639,626,645
2022/10/19,0,633,639,626
2022/10/20,0,622,633,639
2022/10/21,0,616,622,633
2022/10/24,1,610,616,622
2022/10/25,0,579,610,616
2022/10/26,0,596,579,610
2022/10/27,1,555,596,579
2022/10/28,0,547,555,596
2022/10/31,0,597,547,555
2022/11/1,0,588,597,547
2022/11/2,1,582,588,597
2022/11/3,0,581,582,588
2022/11/4,0,610,581,582
2022/11/7,1,602,610,581
2022/11/8,1,599,602,610
2022/11/9,1,621,599,602
2022/11/10,0,625,621,599
2022/11/11,1,660,625,621
2022/11/14,1,601,660,625
2022/11/15,1,649,601,660
2022/11/16,1,713,649,601
2022/11/17,0,732,713,649
2022/11/18,1,738,732,713
2022/11/21,0,734,738,732
2022/11/22,0,741,734,738
2022/11/23,0,738,741,734
2022/11/24,1,732,738,741
2022/11/25,1,719,732,738
2022/11/28,0,749,719,732
2022/11/29,0,751,749,719
2022/11/30,1,747,751,749
2022/12/1,1,739,747,751
2022/12/2,1,741,739,747
2022/12/5,0,770,741,739
2022/12/6,0,785,770,741
2022/12/7,0,773,785,770
2022/12/8,0,733,773,785
2022/12/9,1,706,733,773
2022/12/12,0,704,706,733
2022/12/13,0,713,704,706
2022/12/14,1,711,713,704
2022/12/15,0,701,711,713
2022/12/16,1,723,701,711
2022/12/19,0,711,723,701
2022/12/20,0,717,711,723
2022/12/21,1,707,717,711
2022/12/22,1,683,707,717
2022/12/23,1,704,683,707
2022/12/26,0,716,704,683
2022/12/27,1,717,716,704
2022/12/28,0,707,717,716
2022/12/29,0,718,707,717
2022/12/30,0,687,718,707
2023/1/3,1,681,687,718
2023/1/4,1,670,681,687
2023/1/5,1,714,670,681
2023/1/6,1,750,714,670
2023/1/9,1,754,750,714
2023/1/10,1,771,754,750
2023/1/11,1,785,771,754
2023/1/12,0,799,785,771
2023/1/13,0,805,799,785
2023/1/16,1,792,805,799
2023/1/17,0,777,792,805
2023/1/30,1,810,777,792
2023/1/31,1,808,810,777
2023/2/1,1,888,808,810
2023/2/2,1,893,888,808
2023/2/3,1,908,893,888
2023/2/6,0,961,908,893
2023/2/7,1,964,961,908
2023/2/8,1,917,964,961
2023/2/9,0,949,917,964
2023/2/10,0,1010,949,917
2023/2/13,0,994,1010,949
2023/2/14,0,948,994,1010
2023/2/15,0,902,948,994
2023/2/16,1,892,902,948
2023/2/17,0,892,892,902
2023/2/20,1,920,892,892
2023/2/21,1,903,920,892
2023/2/22,0,950,903,920
2023/2/23,1,1005,950,903
2023/2/24,0,972,1005,950
2023/3/1,1,1015,972,1005
2023/3/2,0,991,1015,972
2023/3/3,0,996,991,1015
2023/3/6,1,980,996,991
2023/3/7,1,954,980,996
2023/3/8,0,955,954,980
2023/3/9,1,961,955,954
2023/3/10,1,951,961,955
2023/3/13,0,1045,951,961
2023/3/14,0,1095,1045,951
2023/3/15,1,1095,1095,1045
2023/3/16,1,1090,1095,1095
2023/3/17,1,1095,1090,1095
2023/3/20,0,1165,1095,1090
2023/3/21,0,1265,1165,1095
2023/3/22,1,1260,1265,1165
2023/3/23,1,1190,1260,1265
2023/3/24,1,1195,1190,1260
2023/3/27,0,1205,1195,1190
2023/3/28,0,1210,1205,1195
2023/3/29,0,1190,1210,1205
2023/3/30,1,1155,1190,1210
2023/3/31,0,1125,1155,1190
2023/4/6,0,1145,1125,1155
2023/4/7,1,1145,1145,1125
2023/4/10,1,1125,1145,1145
2023/4/11,1,1175,1125,1145
2023/4/12,0,1210,1175,1125
2023/4/13,0,1330,1210,1175
2023/4/14,1,1310,1330,1210
2023/4/17,0,1275,1310,1330
2023/4/18,0,1335,1275,1310
2023/4/19,0,1270,1335,1275
2023/4/20,0,1270,1270,1335
2023/4/21,0,1240,1270,1270
2023/4/24,1,1225,1240,1270
2023/4/25,0,1170,1225,1240
2023/4/26,1,1190,1170,1225
2023/4/27,0,1115,1190,1170
2023/4/28,1,1120,1115,1190
2023/5/2,1,1110,1120,1115
2023/5/3,0,1135,1110,1120
2023/5/4,0,1155,1135,1110
2023/5/5,1,1110,1155,1135
2023/5/8,0,1090,1110,1155
2023/5/9,0,1140,1090,1110
2023/5/10,0,1125,1140,1090
2023/5/11,1,1110,1125,1140
2023/5/12,1,1080,1110,1125
2023/5/15,0,1110,1080,1110
2023/5/16,1,1170,1110,1080
2023/5/17,0,1160,1170,1110
2023/5/18,1,1200,1160,1170
2023/5/19,1,1175,1200,1160
2023/5/22,1,1180,1175,1200
2023/5/23,1,1230,1180,1175
2023/5/24,0,1250,1230,1180
2023/5/25,0,1280,1250,1230
2023/5/26,1,1245,1280,1250
2023/5/29,1,1225,1245,1280
2023/5/30,0,1245,1225,1245
2023/5/31,1,1300,1245,1225
2023/6/1,0,1170,1300,1245
2023/6/2,1,1175,1170,1300
2023/6/5,0,1155,1175,1170
2023/6/6,1,1180,1155,1175
2023/6/7,1,1160,1180,1155
2023/6/8,0,1170,1160,1180
2023/6/9,0,1185,1170,1160
2023/6/12,1,1140,1185,1170
2023/6/13,1,1125,1140,1185
,,,,1140
